,name,date,location,star_ratings,reviews
10,Barb M.,1/21/2020,"Glenlee, Australia",5 star rating,"An amazing place for breakfast!  I had the bircher and a flat white. Unbelievably good. So delicious and fresh. Light, creamy and not at all heavy. The coffee comes with a little donut bite which was fresh and a perfect taste. Best coffee I've had in Melbourne this visit. The service was brilliant, so friendly and happy. Very engaging and pleasant. A lovely atmosphere. Busy but not overly loud. Will recommend and be back for sure!"
11,Sean C.,8/10/2019,"Seattle, WA",4 star rating,"This place is really busy.  There's a long, community table that probably won't work well for large parties.  Tried the popular lobster benedict, which is actually an eggs benedict between two black brioche buns.  The top of the black bun is buttered and the bun itself is pretty good. The lobster was decent, and then eggs were cooked to perfection.  The brioche was alright and it came with french jam, Bonne Maman (which happens ot be available all over the U.S.).  Classic American/british rock hits playing in the background like Red Hot Chili Peppers, Boston, etc contributed to the laid back ambience. Credit card has extra charge (similar to a lot of other places in the Melbourne).  Service is fast and friendly.  Seems to be a popular tourist destination."
12,Val M.,1/01/2019,"Johns Island, SC",5 star rating,"Great place! You literally can pick anything on the menu and you can't go wrong. Capuchino and double whites are delicious. In USA double whites are not widely available, so I would always get extra cup :) love it:)The place is small and very popular,  so you might will have to wait for a little while, but it all worth it. The atmosphere is very cool and staff is very friendly.  All dishes were very fresh and super tasty, and food presentation was awesome. Recommend it!Cheers :)"
13,Courtney M.,2/03/2020,"Mountain View, CA",5 star rating,"This is an amazing restaurant for brunch! It's a popular restaurant, especially on the weekends, so getting there before 9:30am will help you get a table faster. I arrived at about 10am and only waited about 20 minutes though. Since they were busy they were very accommodating and figured out a way to make space for me, especially given that I had an injury and couldn't walk very far, which I really appreciated. Their food is absolutely amazing; the ambiance is fun and welcoming. Their chai tea latte with oat milk was the best chai I had in all of Melbourne while I was visiting. Thanks for a wonderful experience!"
14,Tiffany C.,8/25/2018,"Markham, Canada",3 star rating,"I've heard so many things about Hardware Society that it became one of the first places on my must try list when I arrived at Melbourne. Unfortunately, perhaps it was a bit too hyped for me, this place is actually not on my top places for brunch.Baked Eggs - The flavours were there and the entire dish tasted tangy from the tomatoes yet mild and well blended. That being said, I might have misheard the waitress but because I thought she said to not mix the egg, it started to harden and I ended up not having the nice gooeyness that would've made the dish perfect. Perhaps I am a bit biased in that sense, but I didn't think it would deserve that price. One other thing was that my bread was a tad too hard and over toasted, so it was hard for my mom to bite into even when dipped in the dish. Tuna Millefeuille - when I went they had the tuna rather than salmon mille feuille. Being a foodie that loves pastries, I decided to give it a shot. Overall light and tuna taste was evident and fresh. That being said, I don't think I necessarily enjoyed the texture of the tuna. Again it was pleasant but not necessarily amazing.Scrambled eggs - their eggs were runny and creamy, just the way I like my eggs. full of flavours and you can taste each note described on their menu. This was my favorite dish for sure.Overall I would love to go back to Hardware Société as it's such a popular place. The prices are steep though so I won't go regularly, but they change their menus from time to time and have weekend specials. You can never have too much brunch here in Melbourne!"
15,Pearce D.,6/17/2017,"Hoboken, NJ",5 star rating,"There's a lot of hype for this place but with good reason. I've never ordered multiple meals as a solo diner just to sample different things, but I was tempted to do so here. But like most others, I defaulted to the baked eggs. Definitely did not disappoint, though the only negative was that it did take quite a while. There's going to be a line, but it moves exceptionally quick. Just go. You won't regret it."
16,Lee R.,2/21/2020,"Toronto, Canada",3 star rating,The decor and food presentation is gorgeous and service is excellent but none of us loved our meals and it was expensive. My husband did not enjoy the vegetarian baked eggs. He felt it tasted bland. My daughter did not love her eggs with smoked salmon.  It looked a lot better than it tasted. I had the Bircher which was tasty but much too sweet for a meal. It would have been delicious if it was for dessert.
17,Hansel B.,4/14/2017,"Manhattan, NY",4 star rating,"Breakfast/Brunch - doesn't matter what you want, this place has you covered.I recommend the Baked Eggs Deux, they have a few other baked egg options that will hit the spot.The place can get quite packed, but it's a short wait if you are a small group."
18,Bellinda K.,2/01/2020,"Serangoon, Singapore, Singapore",5 star rating,Yummy! Always yummy and the staffs are super lovely! Been here for a couple of timeS!
19,Yi Z.,11/13/2016,"Berkeley, CA",5 star rating,"The Hardware Societe is around the corner from where we were staying. I had heard that Melbourne has a reputation for brunch, just like SF, where I live. We got to The Hardware Societe at 8:30am on Friday morning and the place was buzzing with activity. Luckily, we did not have to wait at all to get seated. I had studied the photos in advance and had a good idea of what the popular dishes were. When I got to there and started looking around at other people's meals, everything looked so delicious and it made the choice extremely difficult. My friend ordered the Baked Eggs Deux (with Chorizo) that everyone raves about. It was served with a few pieces of a baguette. It looked so yummy and he enjoyed it very much.After conferring with the server, I settled on the Pork Belly dish. It came with two eggs, sunny side up, jamon, potato cakes, and pork belly. The presentation was a feast for the eyes. The sauces that were on the plate were perfect complements to the dish. The funny thing is that my least favorite portion of the dish was the pork belly. The egg and everything else were spectacular. I also had a the famous thick hot chocolate, which was served with a mini donut. I was stuffed and extremely happy with our breakfast choice."
20,Chris W.,12/28/2019,"Lucas, Australia",5 star rating,Great spot for a bite of brunch and amazing coffee. Always seems busy but well worth the wait!
21,Jennifer K.,12/19/2016,"Markham, Canada",5 star rating,"If you are into Brunch, You should not miss eating at The Hardware Societe! We arrived on a weekday before the lunch rush and there was no wait for a table for 2. Menu selection is really good and of course it took us awhile to decide on what to order. Our waiter was really friendly and gave us several recommendation.We shared:Baked Eggs Deux ($18) Seared Scallops and Tuna Millefeuille ($26)Matcha Maiden Green Tea Latte ($5)Artisanale Limonade by Hansi ($4.50)The Baked Eggs with Chorizo was just so good and comforting! Love all the components in the dish! But that Seared Scallops dish probably one of the best brunch food I ever ate! I love the scallops and the tartness of the tartar from apple and yuzu alioli. The menu has so many choices includes wagyu beef, pork belly, duck confit and even lobster! And there is always quite a few vegetarian options.I still dream about having Scallops and Tuna for brunch..............."
22,Karl H.,8/21/2018,"Huntingtown, MD",5 star rating,"We wanted to go for a while and finally got in on the weekend this winter...  It was raining (see photo). We Put our name on the list for a 25 minute wait.  No one left the queue, but it was well managed and moved along. Once inside service was friendly,  prompt and attentive,  the whole place was pleasant. Hot drinks were fast and rich. Hot chocolate here was top 3 I've had in the state- Mork was #1.The food (breakfast) was savory,  top quality,  well prepared and beautiful. We ordered a second course late to share. I'd wait in the winter rain again for this one."
23,V C.,9/21/2017,"Cupertino, CA",5 star rating,"The Hardware Societe is wonderful! In Melbourne cafe scene, their popularity is second to none and no matter which day of the week, you would always see lines. It actually took me 3 trials to finally score a seat in this place. Located inside the iconic Hardware Lane, this petite cafe offers a different vibe that I instantly fall in love with; rustic decor combined with colorful butterfly wallpapers - pretty! Also, this isn't exactly a quiet or peaceful cafe... instead the inside is somewhat chaotic and the energy is on!! The food selections here are mainly Australian - French inspired breakfast and brunch menu, quite adventurous and their food will pamper all your senses. * The baked egg w/ chorizo ($19): what they are famous for and it doesn't disappoint. The baked egg consists of chorizo, potatoes, egg and sprinkle with almonds. Taste-wise, it was absolutely delicious, flavorful and melt in your mouth. Served with few pieces of toasted baguette on the side, which goes beautifully with the fluffy egg texture - addicting!* Matcha latte: I love everything matcha, but I was kinda disappointed with this one.  The latte was very grainy and a tad watery, but I do like the fact that it was not overly sweet. * Mork hot chocolate: Rich and delightful, presentation was unique, as it was served with chunks of melted chocolate inside and stirred it with warm milk. * Pork belly and fried eggs ($25): I'm loving this one. A breakfast combo that never fails! Consisting two mashed potato croquettes, a thick slab of crunchy pork belly (tender and fatty but in proper amount) and over easy fried egg on top of toasted bread - Definitely a go! In all, The Hardware Societe is a culinary gem, the food was worth the hype and the effort to get here. One of my fave cafe in the city!!"
24,Sarah M.,10/04/2019,"Sydney, Australia",5 star rating,If you want breakfast with a twist and that will satisfy you for your trek around Melbourne this is the place to goWhen I visit Melbourne this is my daily breakfast joint everywhere else is a waste of money and I'm missing out because I should be eating at Hardware Société !The baked eggs with chorizo is a must served sizzling with sourdough soldiers only thing I suggest is as for a separate plate as it's easier to eatThe pork belly with eggs is sensuous crunchy crackling served with heavenly croquettes watercress and the most insane hollandaise sauce yum!!! Their signature lobster on black brioche is divine!!!! in fact the only issue is every time you come here you'll get FOMO and need to come back the next day and order what your partner had!!! I'm going back today for the croque madame and the new lavender bavarois
25,John B.,3/01/2017,"Fayetteville, NC",4 star rating,"This prominent and well-attended alleyway brunch cafe offered a menu in French. It took me way too long to realize that the English translation was on the opposing page, so heads up on that.Their options were predictably somewhat of a struggle from my vegetarian perspective, but I nonetheless found happiness with their fried brioche, a fluffy creation with an appealing ensemble of fruits. The setting was what I take to be archetypically Melburnian; a quasi-European cafe in a alley used as a pedestrian thoroughfare. I'd go back."
26,Kel P.,1/17/2016,"London, United Kingdom",5 star rating,"There's a reason why there's a constant queue (and it's a long one) out this shop! The food is great, the coffee is great, the setting is great!You basically cannot go wrong to visit this joint if you are a foodie! While the setting is no first date romantic, it is a trendy place where you can get a nice setting with great food!The food there is generally more fusion, where you get interesting combinations and overall it's just pure brilliance! I reckon just looking at he menu and discussing what they are is already a fun game!Food as expected is great, so I won't discuss much here. Go experience it yourself!Note, it is not exactly cheap, and yes you better get there early to avoid the minimum 1 hr queue."
27,Angelica C.,12/29/2017,"Santa Monica, CA",4 star rating,"My sister and I got to sit up on the counter which usually I wouldn't enjoy but in this case it was a lot of fun. We got to watch and enjoy all the action in the kitchen of the cooks preparing all the plates. It was pretty enjoyable. Although there was a line, it moved pretty quickly. We ordered this chorizo egg dish which was our favorite, a peach yogurt item (don't order), and the lobster Benedict (which was okay). We also got the matcha latte and hot chocolate both of which were really good and definitely would go back just for the hot chocolate. I thought there was so much hype to this place and I was a little let down. The presentation was great but wish I enjoyed more of the stuff we ordered. Overall if you come here, get the hot chocolate and egg with chorizo dish."
28,Allen T.,12/04/2017,"San Francisco, CA",5 star rating,"Tucked in the back of a little alleyway is this fantastic cafe. We must have showed up an exactly the right time because we were seated immediately.  (The place was full when we arrived and a long line had formed by the time we left). To start, I ordered a soy flat white which absolutely perfect - it was so good that I ordered a second! I had the lobster Benedict which was one of the best benedicts I've ever had. The egg had a beautiful runny golden yolks which mixed with the lobster and the squid ink brioche bun perfectly. The service was friendly and efficient and the food and coffee were excellent."
29,Shirley M.,3/02/2019,"Piscataway Township, NJ",5 star rating,Sat at the bar as I was a party of one. Not too terrible of a wait. Great vibes!!! As others have recommended ordered the Duex (baked eggs with Chorizo) and got the flat white. Yum!!
30,Mark C.,11/27/2017,"San Francisco, CA",5 star rating,"I had a counter seat and witnessed the kitchen staff pumping out one beautiful dish after another.The lobster benedict is the best benedict dish I've had anywhere. The lobster salad is packed with dill and parsley, a winning combination that would make Northern Germans drool. The hollandaise is really, really special."
31,Kim G.,9/29/2019,"Canberra, Australia",4 star rating,"Went to this place back in February 2018,  remembered how much I loved it when I saw it pop up just now. The breakfast was fantastic,  the service was really good, can highly recommend. Seating may be be a little bit of a challenge when it's busy so would recommend getting there pretty early especially on the weekend. All in all a great cafe with amazing food and delightful service, it's a Melbourne institution definitely don't miss if you're travelling through. Not cheap but definitely represents value for money."
32,Thomas L.,11/13/2017,"Markham, Canada",5 star rating,"French style cafe in the alley!Continuing Melbourne's creative uses of laneways, this place is located down one of them - just look for the rooster statue out front. We came by on a Tues morning and inside was full already. We opted for an outside table and the server was kind of enough to turn on the external heater for us.We ordered the baked eggs uno and the poached eggs with roasted mushrooms. The baked eggs seemed unique as they come in a cast iron pot topped with scallops and crisp ham while there is a side of bread drizzled with basil oil. Be careful as it very hot! Scallops were sweet and paired with the salty ham and eggs. Bread is awesome for sopping up the runny eggs. The poached eggs were great as the mushrooms were nicely roasted. We also ordered a croissant to try - big and fluffy with crisp outside and soft insideOverall, loved the food, service and atmosphere. We will definitely come back to try more."
33,Anna V.,1/26/2019,"Toronto, Canada",5 star rating,"We just had breakfast here and we really enjoyed the food. Good thing we arrived before 8am (it opens at 8am). By the time we finished at 8:50am it was packed and there was a lineup with probably 10-20 people waiting in that line. I had their special of the day, a smoked salmon with salmon in a puff pastry and two poached eggs with corn syrup (in lieu of hollandaise). Portion was a very good size and food was great! Loved the presentation. My husband had the pork belly with fried eggs (two eggs sunny side up). They did the pork belly really well with a very crispy skin. We also had a cappuccino and a black brewed coffee. Cup sizes are smaller than North America! Not a dairy-free and egg-free friendly place if you have those allergies, which my daughter does. We got her some sourdough toast with jam as that was the only thing she could eat. Nice little restaurant down a nice little lanwith character and a nice little patio for seating outside if you prefer."
34,Jennifer R.,1/06/2018,"Whittier, CA",5 star rating,"This place is exceptional in all aspects. It is a quaint place with excellent food and service. When we arrived there was a line but it was a very short wait. We were lucky enough to eat at the bar we were able to watch the kitchen staff make picture perfect plates one right another. They operated like a well oiled machine. We had the special Brioche Toast and Pork Belly & Eggs w/Martha Maiden Green Maiden Green Tea Latte and House made Ice Tea.  Everything was delicious.  My favorite was the latte made with/matcha, ice cream, milk and a spoonful of honey. Amazing. The Brioche Toast w/mascarpone, peaches and marcona almonds was a perfect blend of flavors. The Pork Belly & Eggs was also fantastic. The only disappointment was that I was not able to sample every dish. I plan on returning before we leave Melbourne."
35,Emma S.,1/23/2019,"Melbourne, Australia",4 star rating,"Weekday brunch here whilst in Melb for Aus Open.Very busy at around 930am; we were lucky we got one of the last tables before a line formed.Staff polite and attentive. Had a problem with printer so food took significantly longer than expected... our order was not processed and food took about 30 mins.. however waitress apologized and food came quickly after error noted.Meals are very generous. We had mushrooms and eggs and continental breakfast. Good options for vegetarians and food was delish! Eggs cooked perfectly, croissant was just right and coffee was also well made. I had a great oat milk flat white which is hard to come by!"
36,Lauren E.,9/15/2018,"Washington, DC",4 star rating,"Had been to Hardware Societe on a previous trip to Melbourne so I when I came back, I knew this was a must go..and actually did 3 times during the week.  The food is really good and the atmosphere is charming.  Teapots are covered in crocheted warmers and the teacups are super cute.  Over the course of the 3 visits, my colleague and I had Porridge with pears and cinnamon butter - love the cinnamon butter addition and will be replicating that for my oatsBaked eggs with chorizo - super good! Probably their most popular dish. Ratatouille with burrata and poached eggsPumpkin and roasted mushrooms - good, but I feel like there are way too many mushrooms Lobster Benedict - could have had more lobster but was yummy Croque Madame - best food item we had! Love the leeks on the bottom.  It's bread heavy, but the bread is thick and soft. Earl gray tea - amazingCold chocolate - okThe reason for the 4 stars and not 5 is because they don't customize meaning that they wouldn't leave something out of the dish."
37,Bob M.,11/10/2018,"Hobart, Australia",5 star rating,"Awesome place, on holidays went to this cafe for breakfast. Food was unique and super yum. Highly recommend if you are looking for a breakfast out of the box."
38,Loli L.,2/05/2018,"San Francisco, CA",5 star rating,"The thing I love about Melbourne is the food. Is it a long-ass flight to get here? Yes. But they more than make up for it with all the good food. People in this lovely city have certain expectations when it comes to food, and the food shows it.We subjected our offspring to a rather long morning walk to get here but he happily ate not only his food, but some of mine as well :( To be fair, I also partook in his vanilla yogurt and muesli. Enjoyed a lovely sparkling wine with the parts of my brunch that weren't commandeered by the child. Left beyond recharged for the rest of the day.If you like food that is not only beautiful but delicious, then don't come here, because I don't like waiting more than I have to in the morning.Friendly service, great food, and very nice butterfly wallpaper.One more quick thing. I'm a big mimosa drinker. Often, when I'm having a great time in Australia, I'll forget I'm not in America and order a mimosa. (My bad!) Our server very graciously brought out a little thing of orange juice and small bottle of sparkling wine and apologized that I would have to fix it myself. I was more embarrassed that I'd forgotten where I was and that I put our server through some fuss. I sincerely appreciated the trouble they went through for my off-menu request. They totally didn't have to but this just forever cemented their place in my heart.  (I ended up making half a mimosa, and then drank the rest of the sparkling wine straight. The wine here is lovely!)"
39,Beth C.,7/26/2019,"Hocking, Australia",5 star rating,"Recommend 100% very cosy French themed cafe! Coffee is delicious too.My friend ordered a GF dish, as the waiter brought it over, he noticed it wasn't GF, so he got it changed for her, very good  customer service, thank you!"
40,Allie M.,6/15/2018,"Melbourne, Australia",5 star rating,"My favorite bar in Melbourne.I eat here every week. This is an amazing place with cool interior design and pleasant atmosphere. Rustic decor combined with colorful butterfly wallpapers - pretty! Great place for breakfast. Go for the mixed Pork Belly & Fried Eggs. Consisting of two potatoes croquettes, a thick plate of crunchy pork belly and over a fried egg on top of toasted bread. It is so tasty!! The latte was very grainy and a tad watery, but I do like the fact that it was not overly sweet. It is a good solution for my good day."
41,David S.,1/04/2017,"Melbourne, Australia",5 star rating,"Imagine my surprise when I sat down at the table in this restaurant to discover that the menu was in French. Actually, it really surprised me because the one thing that I did not expect to see in Australia was a menu in another language. Okay, for those of use that can't speak, or read, French they do have the English on the facing page, but I have to admit that it was pretty awesome, especially since I do know a little French. Mind you, don't try ordering in French because from what I gathered speaking French is not a requirement to work at this cafe. Anyway it is hugely popular, especially at lunch because there is always, without fail, a waiting list. In fact that is also the case in the morning, but I suspect that has a lot to do with it's classy, French atmosphere."
42,Grace M.,10/15/2016,"North Adams, MA",4 star rating,"Cutesy place but very busy. There's always a line, mostly tourists I gather. But nevertheless my brunch was cooked very well. I got the fried brioche which is their delicious version of French toast. It was nicely caramelized on the outside so it cracked like a crème brûlée but it was soft and tender on the inside. My companion got one of the cheesy eggs -- too cheesy for me. I like eggs but this dish was mostly cheese (which I also like but was just not what we were expecting). We also got the mochas which was DIY. We got espresso shots and separate bowls of warm chocolate to pour into the coffee, so you have control over the sweetness of your coffee. Would I go back? Probly not. There are just as good places with less of a line."
43,Tai W.,9/16/2016,"Philadelphia, PA",5 star rating,Like every other nice restaurant in Melbourne this is in a random alley way. So keep your eyes peeled.The baked eggs with chorizo are AMAZING!! Cheesy and so flavorful.If you get the hot chocolate like me make sure you stir the pot as well. Apparently all the chocolate is on the bottom...
44,Nickey L.,4/18/2017,"New York, NY",4 star rating,"Waited on line about 30 minutes (party of 5) around lunch time. This place seemed pretty hyped up. With a modern/artsy interior design, it was a cozy little spot. I got the sweet French toast special with green tea panna cotta. It was very light and delicious. A few friends had the pork belly, and I enjoyed stealing bites of that. I had their flat white, apparently a must have coffee. It was pretty good. Overall a solid choice if you are in the area, not too sure if I would wait in the line again though."
45,Vanessa B.,3/29/2016,"Perth, Australia",3 star rating,"Contemplating one morning where to go for breakfast and it being a public holiday we thought we'd go here... and pretty much so did everyone else that morning.The line/crowd outside the cafe was insane, but we put our names down and only had to wait around 25 minutes. Which was good considering how many people were there but I guess only being the 2 of us it was easier to sit us than a group of 4.We were seated up near the kitchen, which is where we sat the first time we went as well in 2014. We ordered our coffees and my partner got the special of the day which was a duck tart/pastry with poached eggs and I ordered the pork belly with bacon/potato croquettes and asked them to minus the eggs (I do not eat eggs). We heard them in the kitchen about the order which I thought was a bit rude, but to be honest how hard is it to not have to cook an element, understand they were busy and no modifications can be made but it was simple and of course they delivered.When the food arrived which was pretty quick, our food was just warm.. not hot. Which was a bit disappointing. The pork belly wasn't crispy and was bit cold in the middle. Even the duck tart wasn't hot, I understand they were under the pump but still need to maintain efficiency.The best thing about breakfast was the coffee."
46,Jade M.,1/24/2018,"Wellington, New Zealand",4 star rating,Delightful and pleasant. We got here before it got slammed.  He had baked eggs with chorizo. I had eggs Benedict with pork rillettes. Gentle well-made coffees.  Oh how I do like this place.
47,Michael R.,6/20/2018,"Shibuya, Japan",3 star rating,"3 stars for the Great decor & ambiance. Liked the 2 different theme decor. Variety of food is good. Ordered the Mac & Cheese, Beer Battered fries and cheese Pizza. Taste was ok. Tried the 6 glasses beer taster. Truthfully, the beers are not that good compared to other craft beer I've had."
48,Lachlan C.,1/08/2016,"Melbourne, Australia",5 star rating,"One word, wow. I've been here 6 times but this is the first time I've actually managed to get a table and eat here without waiting over an hour. I can see why this place is always busy. Always thought this place couldn't be that good for a 2hr wait but only waited 10 minutes this time which was surprising.Firstly ordered an iced mocha while my dad ordered a cider. The serving size of the cider was tiny for $9 but even the iced mocha which by the way was amazing the serving size was a little small but nevertheless the food was the reason why we came.Service was very good and the ambience was good too seated on the shared marble table was nice which is better than a wooden table anyway.A first glance at the menu and was blown away, salmon milfeulle, lobster brioche roll, Croque Madame. I ordered the salmon milfeulle while my dad got the lobster brioche roll.The salmon millfeulle came with a perfectly cooked seared/pan fried salmon which had beautiful texture and the best thing was no oil!The millfeulle part had the common pastry crust on the top and bottom, texture perfect, crispy yet still can cut with a knife pretty well. The inside had the flavourous avocado puree and the beautiful raw salmon mix. Packed with flavour definitely the best part of the dish.Poached eggs also came with the dish which were poached great and the charred asparagus along with salmon eggs/caviar was a nice touch and add to the vivid flavours in this dish.My dad's lobster brioche roll came with well cooked lobster, poached eggs in a brioche bun and asparagus with it. The lobster was cooked perfect, very juicy and packed with flavour.Overall this is the best brunch place in Melbourne. The inventiveness of the flavours they can put in iconic breakfast dishes along with the great cooking make this the place to beat. No wonder it has been at the top of zomato and yelp for a long time along with the long wait to get in.Will definitely want to come back but depends on the wait of course, not even this place is worth a two hour wait. But still give this the credit it deserves!"
49,Yiming Z.,2/18/2018,"Hilo, HI",4 star rating,"This is the best brunch we have had in Melbourne! Great food and coffee and value for money. Ten minutes wait, but I promise you it's all worth it! We have tried the most popular lobster eggs benedict and baked eggs with scallops."
50,Suzie R.,6/24/2017,"Elwood, Australia",5 star rating,"This Melbourne icon offers a delicious brunch if you don't mind a wait. We visited on a Sunday morning and of course it was packed! My lovely friend arrived early so luckily I only had to wait about 5 minutes, but in total I would say she waited about 30. We sat outside and although we were right by the entrance, I felt removed from the people queuing and the many people walking by. We were served promptly with time taken to explain the menu and specials. Our waiter was friendly but aware of how busy the restaurant was - making time for a chat, but not lingering too long. We were made to feel welcome, but not fussed over; served promptly, but not rushed.I ordered the sweet special: fried brioche, with deconstructed cheesecake and fresh berries. The brioche was wonderful, had a gorgeous flavour and was fried to perfection. I loved the berry combination and the deconstructed cheesecake, but for me there was too much of the yogurt based sauce so this overpowered the dish a little. My friend ordered the roasted mushrooms, which was a generous portion with a lot of flavour. The coffee was delicious, with a smooth flavour.Overall, I found the experience at The Hardware Societe to be very enjoyable, while I wouldn't say it lives up the hype of being the absolute best brunch you will ever eat - it certainly sits up there with the top spots in Melbourne."
51,Karyn J.,6/03/2018,"West Melbourne, Australia",4 star rating,It's really hard to get a seat in the main cafe where all the cute and instagrammable decor is. I've been there twice now and was seated outside or in the second dining area across the lane. Food was delicious both times and tea was nice in it's little tea-cosied teapot. Matcha lattes are tiny. Highly recommend the fried brioche (French toast) and baked eggs.
52,Philipp K.,5/25/2018,"Melbourne, Australia",3 star rating,"Too extravagant for me and I didn't like things in the dishes. Couldn't change pork belly to bacon. Guess they don't accept customized orders. Weird for a place who wants to seem extravagant, especially consodering the price.Still very good coffee and friendly staff."
53,Khadija M.,3/29/2018,"Yucaipa, CA",5 star rating,"This was the very first breakfast restaurant I visiting during my spring break and so I kind of went all out. I had the matcha latte with the lobster eggs benny and a warm croissant. The flavors that the lobster eggs benny brought out were absolutely one of the best that I've had; however it could definitely be considered more on the heavy side for a breakfast portion. The matcha was superb, no clumps, just a smooth creamy matcha latte. The croissant was crispy on the outside and soft on the inside which is exactly the way I like it. Overall, I recommend this place for its food and the aesthetics of the seating area."
54,Mary A.,10/23/2016,"Brisbane, Australia",4 star rating,"I met up for breakfast on a Sunday morning on Hardware Lane with a friend at this cute place! We were seated in less than 5 minutes and got our order taken in less than 10 minutes. Our waiter that served us was friendly & upbeat :) My friend's Pork Belly was a hearty serving while my Lobster eggs benedict was of a smaller size - but was not saddening at all as it was still very satisfying and deliciously rich due to the two poached eggs & hollandaise sauce. The lobster was of good mouthful sizes & well flavoured so I believe it was worth the $27.00 since you are paying for a good quality breakfast type meal, + it including lobster. Whoever is the barista of this place needs praise as every coffee(s)/ & matcha lattes I saw come out were all beautifully made! Not only was it so presentable, but it was very smooth to drink, and had good matcha flavour - not the strongest but I might be biased as I do love matcha everything :pI thought it was going to be a bad idea that we were allocated to sit outside due to it looking like it was going to rain, but the place comes with roll out roofing so it was not an issue in the end. Other: Definitely a place to come early to & secure a table for because as we were leaving there were just people scattered waiting around the lane waiting for their names to be called out - felt super lucky with our timing !"
55,Jane K.,3/22/2019,"Bulleen, Australia",1 star rating,Terrible terrible service. I know they are famous. But they can not be that rude service. And they let us seat next rubbish bin. And they said you guys should be alright?   And. Explanation was very poor.   We were asking and considering about menu. Maybe few second    She didnt excuse us. Just said i will give you few min for you guys.    ? What ?   We about order    Morning busy hour.  And. They served half eaten butter   With someones bread pieces
